safe,dsid,kind_hint,indp_policy,priority,already_have,notes
mold_bottom_temperature_mpi2_0,10139,scalar,fill,high,0,full_catalog;ELDT;Mold Bottom Temperature (MPI2.0)
mold_top_temperature_mpi2_0,10140,scalar,fill,high,0,full_catalog;ELDT;Mold Top Temperature (MPI2.0)
mold_temperature_difference_mpi2_0,10141,scalar,fill,high,0,full_catalog;ELDT;Mold Temperature Difference (MPI2.0)
bulk_shear_stress_mpi2_0,10143,scalar,fill_and_last,high,0,full_catalog;ELDT;Bulk Shear Stress (MPI2.0)
shear_rate_time_series_mpi2_0,10200,scalar,fill,high,0,full_catalog;ELDT;Shear rate - time series (MPI2.0)
shear_stress_time_series_mpi2_0,10201,scalar,fill,high,0,full_catalog;ELDT;Shear stress - time series (MPI2.0)
part_thickness_time_series_mpi2_0,10202,scalar,last,high,0,full_catalog;ELDT;Part thickness - time series (MPI2.0)
average_temperature_time_series_mpi2_0,10203,scalar,fill,high,0,full_catalog;ELDT;Average temperature - time series (MPI2.
element_viscosity_time_series_mpi2_0,10205,scalar,fill,high,0,full_catalog;ELDT;Element viscosity - time series (MPI2.0)
average_cure_rate_time_series_mpi2_0,10206,scalar,last,high,0,full_catalog;ELDT;Average cure rate - time series (MPI2.0)
average_velocity_time_series_mpi2_0,10207,vector,fill,high,0,full_catalog;ELDT;Average velocity - time series (MPI2.0)
pressure_time_series_mpi2_0,10208,scalar,fill,high,0,full_catalog;NDDT;Pressure - time series (MPI2.0)
temperature_time_series_mpi2_0,10210,scalar,fill,high,0,full_catalog;NDDT;Temperature - time series (MPI2.0)
frozen_time_series_mpi2_0,10211,scalar,fill,high,0,full_catalog;ELDT;% Frozen - time series (MPI2.0)
viscosity_time_series_mpi2_0,10212,scalar,fill,high,0,full_catalog;ELDT;Viscosity - time series (MPI2.0)
frozen_cavity_time_series_mpi2_0,10216,scalar,fill,high,0,full_catalog;ELDT;Frozen cavity - time series (MPI2.0)
flow_front_xsa_time_series_mpi2_0,10219,scalar,last,high,0,full_catalog;ELDT;Flow front XSA - time series (MPI2.0)
velocity_grid_point_time_series_mpi2_0,10300,vector,fill,high,0,full_catalog;ELDT;Velocity grid point - time series (MPI2.
shear_rate_grid_point_mpi2_0,10301,scalar,fill,high,0,full_catalog;ELDT;Shear Rate - Grid Point (MPI2.0)
viscosity_grid_point_mpi2_0,10302,scalar,fill,high,0,full_catalog;ELDT;Viscosity - Grid Point (MPI2.0)
temperature_grid_point_mpi2_0,10303,scalar,fill,high,0,full_catalog;ELDT;Temperature - Grid Point (MPI2.0)
temperature_element_grid_point_mpi2_0,10304,scalar,fill,high,0,full_catalog;ELDT;Temperature Element - Grid Point (MPI2.0
cool_temperature_3d_mpi2_0,10350,scalar,fill,high,0,full_catalog;NDDT;Cool Temperature - 3D (MPI2.0)
